city,street,price_pln,size_m2,rooms,floor,detail_url,image_url,year_built,market,heating,total_floors,intercom,basement,furnished,elevator,parking_space,gated_property,balcony,terrace,garden,longitude,latitude,distance_to_pharmacy,distance_to_kindergarten,distance_to_school,distance_to_parking
Gdańsk,Długie Ogrody,479000,29.0,1,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-pomorskie-gdansk-dlugie-ogrody-29m2-mzn2045486102,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvd2VzdGF0ZTUvOC93ZXN0YXRlNV9tc19XRTMyOTY3MV8xLmpwZyN2PTFfMzgwODc4MjgyNw==/3x2_xs:fill_and_crop/kawalerka-na-sprzedaz-gdansk-dlugie-ogrody-29-m.jpg,1920,wtórny,-1,1,0,0,0,0,0,0,0,0,0,18.66551,54.34788,0.23484476722777525,0.2530483107114695,0.11082776404595639,0.025542336153446563
Gdańsk,Wyspa Sobieszewska,499000,27.0,2,2.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wyspa-sobieszewska-27m2-mzn2044204350,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC9hL21oZ2RfbXNfTUc4MTY3OTBfMS5qcGcjdj0xXzM3Njc3NjU5ODU=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wyspa-sobieszewska-27-m.jpg,2025,pierwotny,Pompa ciepła,2,1,0,0,1,1,0,1,0,0,18.91431,54.338,6.374888301079032,5.547875046860801,0.3713588065459331,0.6050819720515727
Gdańsk,Wyspa Sobieszewska,499000,27.0,2,2.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wyspa-sobieszewska-27m2-mzn2044204349,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC84L21oZ2RfbXNfTUc3MzU0MzlfMS5qcGcjdj0xXzM3Njc3NjU5NTU=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wyspa-sobieszewska-27-m.jpg,2025,pierwotny,Pompa ciepła,2,1,0,0,1,1,0,1,0,0,18.9144,54.33802,6.374159551664886,5.553349486321414,0.37759232233338447,0.610740806994097
Gdańsk,Niepołomicka,525000,37.0,2,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-niepolomicka-37m2-mzn2045819869,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvYm5jZGYvMi9ibmNkZl9tc18zMTAlMjUyRjU5NjglMjUyRk9NU18xLmpwZyN2PTFfMzc2NjQ5MjAxNQ==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-ujescisko-lostowice-37-m.jpg,2019,wtórny,C.O. miejskie,4,0,0,0,1,1,0,1,0,0,18.59757351,54.3164915,0.5765646583897964,0.34146837727509555,0.4123135497258554,0.0463588500009618
Gdańsk,Piastowska,569000,47.0,3,2.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-przymorze-piastowska-47m2-mzn2045774263,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC83L21oZ2RfbXNfTUcxNDk3NjJfMS5qcGcjdj0xXzM3Nzk1MTk2NTQ=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-przymorze-47-m.jpg,1980,wtórny,C.O. miejskie,10,1,1,0,1,0,1,1,0,0,18.5931131,54.4170384,0.17487519219835132,0.0743314531847041,0.22899980634525915,0.11282148756110914
Gdańsk,Przemyska,599000,41.0,2,0.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-przemyska-41m2-mzn2045593630,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbzY3MzE4LzYvbzY3MzE4X21zX0hFWDQ4NDU1MV8xLmpwZyN2PTFfMzgxMDMwNzc3NQ==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-ujescisko-lostowice-41-m.jpg,2024,wtórny,C.O. miejskie,4,1,0,0,1,1,0,0,0,1,18.59057,54.3284,0.3743232467482935,0.11797555696233848,0.579073031904892,0.05009955078629352
Gdańsk,Łąkowa,610000,28.0,1,5.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-lakowa-28m2-mzn2045564773,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvYmFsdGljaHVzLzQvYmFsdGljaHVzX21zX0VDMTIzNDU2MzY3MzYxXzEuanBnI3Y9MV8zODExMTE5ODQ4/3x2_xs:fill_and_crop/kawalerka-na-sprzedaz-gdansk-srodmiescie-28-m.jpg,2023,wtórny,-1,6,0,0,0,1,0,0,0,0,0,18.66631,54.34611,0.33547867518127117,0.4568197913720661,0.15473612744108803,0.10686564658515282
Gdańsk,Aleksandry Gabrysiak,619000,56.0,2,2.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-jasien-aleksandry-gabrysiak-56m2-mzn2045852479,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvYm5taW8vMS9ibm1pb19tc185NDg3NzVfMS5qcGcjdj0xXzM3NzExOTkwNTM=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-jasien-56-m.jpg,2003,wtórny,C.O. miejskie,3,0,1,0,0,1,0,1,0,0,18.5576355,54.3356596,0.5752357016028776,0.48265035475943524,0.9069411104719597,0.27233321396488236
Gdańsk,Ujeścisko,625000,48.0,2,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-48m2-mzn2045117503,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvdHlzemtpZXcvMi90eXN6a2lld19tc19UWTk2NjE3MF8xLmpwZyN2PTFfMzgwMjY0MDM4Ng==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-ujescisko-lostowice-48-m.jpg,2006,wtórny,C.O. miejskie,4,1,0,0,0,1,0,1,0,0,18.58094,54.32972,0.1910739456801146,0.28903302497723543,0.5843502104844123,0.06586981177559642
Gdańsk,Sandomierska,629000,73.0,3,0.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-orunia-sw-wojciech-lipce-sandomierska-73m2-mzn2044543624,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbGV4cGFydG5lci9lL2xleHBhcnRuZXJfbXNfMzMyMjMlMjUyRjM2ODUlMjUyRk9NU18xLmpwZyN2PTFfMzc3NzEwMzkxMA==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-orunia-sw-wojciech-lipce-73-m.jpg,1904,wtórny,C.O. gazowe,2,0,1,0,0,1,0,0,0,0,18.6367305,54.3317141,0.3335715137060055,0.42332499032105736,0.42056377506330833,0.09339776020245594
