city,street,price_pln,size_m2,rooms,floor,detail_url,image_url,year_built,market,heating,total_floors,intercom,basement,furnished,elevator,parking_space,gated_property,balcony,terrace,garden,longitude,latitude,distance_from_center,distance_from_airport,distance_from_train_station,distance_from_park,distance_from_university,distance_from_mall
Gdańsk,Sienna Grobla,1897000,79.0,3,4.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-pomorskie-gdansk-sienna-grobla-79m2-mzn2045790597,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvcGFydG5lcnNpbi9iL3BhcnRuZXJzaW5fbXNfMzM3NTgyXzEuanBnI3Y9MV8zODA4Njc5MzQz/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-sienna-grobla-79-m.jpg,2024,wtórny,Co Miejskie,5,1,0,0,1,1,0,1,0,0,54.35761,18.66842,4989.05,5000.31,,5000.07,4996.62,
Gdańsk,Hołdu Pruskiego,750000,54.0,3,0.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-oliwa-holdu-pruskiego-54m2-mzn2046081191,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZzg3OTI3L2EvZzg3OTI3X21zX0dXMjgxOTUzXzEuanBnI3Y9MV8zNzk4NzUyMDUx/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-oliwa-54-m.jpg,1890,wtórny,Gazowe,2,1,1,0,0,1,0,0,0,1,54.4106045,18.5701735,5001.28,5012.54,,5012.29,5008.84,
Gdańsk,Artura Grottgera,2099000,72.0,3,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-oliwa-artura-grottgera-72m2-mzn2045845496,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbzY3MzE4LzkvbzY3MzE4X21zX0hFWDQyMTI3MF8xLmpwZyN2PTFfMzc5ODY4MTYzMg==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-oliwa-72-m.jpg,2024,wtórny,Co Miejskie,3,0,0,0,1,1,0,1,0,0,54.3990269,18.5658514,5001.1,5012.36,,5012.12,5008.67,
Gdańsk,Łąkowa,911155,39.0,2,4.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-lakowa-39m2-mzn2045370588,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvcGFydG5lcnNpbi81L3BhcnRuZXJzaW5fbXNfNjg4NDQ5XzEuanBnI3Y9MV8zODAyNTM4NTAw/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-srodmiescie-39-m.jpg,2024,wtórny,Co Miejskie,5,1,0,0,1,1,0,1,0,0,54.34508,18.64785,4990.41,5001.66,,5001.42,4997.97,
Gdańsk,Łąkowa,1072513,49.0,2,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-lakowa-49m2-mzn2045370585,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvcGFydG5lcnNpbi9mL3BhcnRuZXJzaW5fbXNfMTQwOTAzXzEuanBnI3Y9MV8zODAyNTM4MjMy/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-srodmiescie-49-m.jpg,2024,wtórny,Co Miejskie,5,1,0,0,1,1,0,1,0,0,54.34508,18.64785,4990.41,5001.66,,5001.42,4997.97,
Gdańsk,Oliwa,3409540,128.0,5,2.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-oliwa-128m2-mzn2045354664,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvcGFydG5lcnNpbi9kL3BhcnRuZXJzaW5fbXNfNjQ0NjA5XzEuanBnI3Y9MV8zODAyODkyNzk0/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-oliwa-128-m.jpg,2024,wtórny,Co Miejskie,3,0,0,0,1,1,0,1,0,0,54.40469,18.53186,5004.69,5015.94,,5015.7,5012.25,
Gdańsk,Oliwa,3409540,128.0,5,2.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-oliwa-128m2-mzn2043602681,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvcGFydG5lcnNpbi9hL3BhcnRuZXJzaW5fbXNfNzYzMjgzXzEuanBnI3Y9MV8zODAyODkyNzI5/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-oliwa-128-m.jpg,2024,pierwotny,Co Miejskie,3,0,0,0,1,1,0,1,0,0,54.40469,18.53186,5004.69,5015.94,,5015.7,5012.25,
Gdańsk,Łąkowa,655092,28.0,1,5.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-lakowa-28m2-mzn2045370583,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvcGFydG5lcnNpbi8xL3BhcnRuZXJzaW5fbXNfMzg5NDAxXzEuanBnI3Y9MV8zODAyNTM3MjEy/3x2_xs:fill_and_crop/kawalerka-na-sprzedaz-gdansk-srodmiescie-28-m.jpg,2024,wtórny,Co Miejskie,5,1,0,0,1,1,0,1,0,0,54.34508,18.64785,4990.41,5001.66,,5001.42,4997.97,
Gdańsk,Piotra Czajkowskiego,1199000,70.0,3,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-suchanino-piotra-czajkowskiego-70m2-mzn2045462551,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvcGFydG5lcnNpbi9jL3BhcnRuZXJzaW5fbXNfNDc1MzAxXzEuanBnI3Y9MV8zNzkwODQ0Nzkx/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-suchanino-70-m.jpg,2013,wtórny,Co Miejskie,5,0,0,0,1,1,0,1,0,0,54.35327,18.60512,4994.96,5006.22,,5005.98,5002.53,
Gdańsk,Łąkowa,666000,31.0,2,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wyspa-sobieszewska-lakowa-31m2-mzn2045888602,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvcGFydG5lcnNpbi8xL3BhcnRuZXJzaW5fbXNfNjQyNjE3XzEuanBnI3Y9MV8zNzQzODI3MjQy/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wyspa-sobieszewska-31-m.jpg,2025,wtórny,Co Własne,2,1,0,0,1,1,0,1,0,0,54.3414075,18.8164597,4973.89,4985.15,,4984.9,4981.45,
