city,street,price_pln,size_m2,rooms,floor,detail_url,image_url,year_built,market,heating,total_floors,intercom,basement,furnished,elevator,parking_space,gated_property,balcony,terrace,garden,latitude,longitude
Gdańsk,Gdańsk,806547,40.0,2,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-pomorskie-gdansk-40m2-mzn2046241379,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC8xL21oZ2RfbXNfTUc5MDkwOTNfMS5qcGcjdj0xXzM4MDAxNDIwNzg=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-40-m.jpg,2027,pierwotny,-1,7,0,0,0,1,0,0,0,0,0,54.3616201,18.6642668
Gdańsk,Sienna Grobla,884205,36.0,2,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-pomorskie-gdansk-sienna-grobla-36m2-mzn2046241380,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC84L21oZ2RfbXNfTUc5NzE1OTdfMS5qcGcjdj0xXzM4MDAxNDIwOTU=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-sienna-grobla-36-m.jpg,-1,pierwotny,-1,6,0,0,0,1,0,0,0,0,0,54.3608699,18.6638377
Gdańsk,Kombatantów,720000,48.0,2,4.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-zaspa-kombatantow-48m2-mzn2046092685,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC81L21oZ2RfbXNfTUc1MDYwNzFfMS5qcGcjdj0xXzM3OTA2OTg5MTc=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-zaspa-48-m.jpg,1980,wtórny,Co Miejskie,10,1,1,0,1,0,0,1,0,0,54.3971564,18.6104136
Gdańsk,Pastelowa,738000,68.0,3,0.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-pastelowa-68m2-mzn2045941644,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC82L21oZ2RfbXNfTUczNTM0NzdfMS5qcGcjdj0xXzM3Nzk2MzkwMjA=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-ujescisko-lostowice-68-m.jpg,2025,pierwotny,-1,4,1,0,0,1,1,0,0,1,1,54.3107085,18.6089963
Gdańsk,Góralska,820000,63.0,3,6.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-bretowo-lesna-gora-63m2-mzn2045869002,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC8zL21oZ2RfbXNfTUc1MDgwNzlfMS5qcGcjdj0xXzM4MDY4OTc0MDY=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-bretowo-63-m.jpg,1983,wtórny,Co Miejskie,10,1,1,0,1,1,0,1,0,0,54.3744424,18.5598846
Gdańsk,Piotrkowska,850000,62.0,3,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-piotrkowska-62m2-mzn2045860067,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC9kL21oZ2RfbXNfTUc3MzA4ODdfMS5qcGcjdj0xXzM3OTQ2OTk5OTY=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-ujescisko-lostowice-62-m.jpg,2012,wtórny,Co Miejskie,3,1,0,0,1,1,0,1,0,0,54.3282963,18.5824416
Gdańsk,Pastelowa,585500,48.0,3,2.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-pastelowa-48m2-mzn2045941645,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC84L21oZ2RfbXNfTUc1ODI4MjlfMS5qcGcjdj0xXzM3Nzk2MzkwNDg=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-ujescisko-lostowice-48-m.jpg,2025,pierwotny,Co Miejskie,4,1,0,0,1,1,1,1,1,1,54.3096626,18.6039766
Gdańsk,Aleja Generała Józefa Hallera,860909,48.0,2,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-aleja-gen-jozefa-hallera-48m2-mzn2045862564,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC9kL21oZ2RfbXNfTUczMzM2MjdfMS5qcGcjdj0xXzM4MDg3MTY0NzM=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wrzeszcz-48-m.jpg,2025,pierwotny,-1,10,1,0,0,1,1,0,1,1,0,54.389055,18.6234601
Gdańsk,Pastelowa,591000,49.0,2,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-pastelowa-49m2-mzn2046099327,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC84L21oZ2RfbXNfTUc3NDg3OTRfMS5qcGcjdj0xXzM3Nzk2MzkwNjI=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-ujescisko-lostowice-49-m.jpg,2025,pierwotny,-1,3,0,0,0,1,1,0,1,1,1,54.3096626,18.6039766
Gdańsk,Starowiejska,989672,65.0,3,0.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-letnica-starowiejska-65m2-mzn2045674268,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC80L21oZ2RfbXNfTUczMjY0NjVfMS5qcGcjdj0xXzM3OTI0OTM0Mjk=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-letnica-65-m.jpg,2025,pierwotny,Co Miejskie,18,1,0,0,1,1,0,1,1,0,54.3950077,18.6470238
