street,price_pln,size_m2,rooms,floor,detail_url,year_built,coords
ul. Kempingowa 117,815500,35 m²,2 pokoje,parter,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wyspa-sobieszewska-kempingowa-117-35m2-mzn2045748101,2023,"54.3357268,18.9176186"
ul. Przemyska,947715,29 m²,1 pokój,piętro 3/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-przemyska-29m2-mzn2043447404,2025,"54.3281421,18.5933632"
ul. Przemyska,947715,38 m²,2 pokoje,piętro 2/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-przemyska-38m2-mzn2043447415,2025,"54.3281421,18.5933632"
ul. Kartuska,529000,53 m²,3 pokoje,piętro 4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-kartuska-53m2-mzn2045462172,2026,"54.34493819,18.58363152"
ul. Kamienna Grobla,529000,53 m²,3 pokoje,parter,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-kamienna-grobla-53m2-mzn2044861791,2027,"54.34136707,18.6554718"
ul. Dantyszka,1315515,63 m²,3 pokoje,piętro 3/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-aniolki-dantyszka-63m2-mzn2045750081,2027,"54.36220778,18.62729788"
ul. Dantyszka,1315515,98 m²,4 pokoje,parter/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-aniolki-dantyszka-98m2-mzn2045750080,2027,"54.36220778,18.62729788"
ul. Wita Stwosza 77,473500,112 m²,4 pokoje,parter/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-strzyza-wita-stwosza-77-112m2-mzn2044248764,2026,"54.3905662,18.5801339"
ul. Kartuska,473500,37 m²,2 pokoje,parter,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-kartuska-37m2-mzn2045462178,2026,"54.34493819,18.58363152"
Śródmieście,298000,26 m²,1 pokój,piętro 3/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-26m2-mzn2045844742,2025,"54.351678,18.65574"
Angielska Grobla,298000,140 m²,4 pokoje,piętro 6/6,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-angielska-grobla-140m2-mzn2045690698,-1,"54.35065,18.66529"
ul. Pastelowa,3995000,50 m²,3 pokoje,parter,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-pastelowa-50m2-mzn2045691042,2025,"54.31012686,18.60594749"
ul. Spichrzowa 18/29,3995000,46 m²,1 pokój,piętro 3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-spichrzowa-18-29-46m2-mzn2045180249,2024,"54.34946575,18.65862608"
ul. Leśna Góra,592500,35 m²,2 pokoje,parter,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-bretowo-lesna-gora-35m2-mzn2045452379,2027,"54.37583326,18.56055379"
ul. Twarda,592500,41 m²,1 pokój,piętro 1/6,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-mlyniska-twarda-41m2-mzn2045752689,2026,"54.3761434,18.6343523"
ul. Twarda,1461015,48 m²,1 pokój,piętro 2/6,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-mlyniska-twarda-48m2-mzn2045752722,2026,"54.3761434,18.6343523"
Starowiejska,1461015,41 m²,2 pokoje,piętro 3/17,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-letnica-starowiejska-41m2-mzn2045334671,2024,"54.3948,18.647"
ul. Wspólna 3,560000,117 m²,5 pokoi,piętro 1,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-olszynka-wspolna-3-117m2-mzn2045668323,2024,"54.33460548,18.65738153"
Stara Stocznia,560000,70 m²,3 pokoje,piętro 6/6,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-stara-stocznia-70m2-mzn2043123916,2023,"54.3557183,18.6629375"
Stara Stocznia,2197000,49 m²,2 pokoje,piętro 3/6,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-stara-stocznia-49m2-mzn2043304419,2023,"54.35728322,18.65133137"
ul. Wspólna 3,2197000,57 m²,3 pokoje,parter,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-olszynka-wspolna-3-57m2-mzn2045668297,2024,"54.33460548,18.65738153"
ul. Kusocińskiego 5,1647000,73 m²,3 pokoje,piętro 3/10,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-piecki-migowo-kusocinskiego-5-73m2-mzn2045368627,2027,"54.35641622,18.57554626"
ul. Jesionowa 6b,1647000,36 m²,2 pokoje,piętro 1/5,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-jesionowa-6b-36m2-mzn2044770968,2026,"54.37992002,18.59714985"
ul. Jesionowa 6b,474000,46 m²,1 pokój,parter/5,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-jesionowa-6b-46m2-mzn2044770949,2026,"54.37992002,18.59714985"
ul. Borkowska,474000,52 m²,3 pokoje,piętro 3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-orunia-gorna-gdansk-poludnie-borkowska-52m2-mzn2045752020,2025,"54.29592108,18.61873627"
ul. Borkowska,662000,74 m²,4 pokoje,piętro 1,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-orunia-gorna-gdansk-poludnie-borkowska-74m2-mzn2045752167,2025,"54.29592108,18.61873627"
ul. Kusocińskiego 5,662000,103 m²,4 pokoje,piętro 5/10,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-piecki-migowo-kusocinskiego-5-103m2-mzn2045368675,2027,"54.35641622,18.57554626"
ul. Jaskółcza,619000,45 m²,1 pokój,piętro 1,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-jaskolcza-45m2-mzn2044344078,2026,"54.34275553,18.65989208"
ul. Jaskółcza,619000,66 m²,3 pokoje,piętro 1,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-jaskolcza-66m2-mzn2044344054,2026,"54.34275553,18.65989208"
ul. Borkowska 7,599000,46 m²,2 pokoje,piętro 2,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-orunia-gorna-gdansk-poludnie-borkowska-7-46m2-mzn2044950246,2025,"54.29788208,18.60763192"
ul. Borkowska 7,599000,65 m²,3 pokoje,piętro 2,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-orunia-gorna-gdansk-poludnie-borkowska-7-65m2-mzn2045122700,2025,"54.29788208,18.60763192"
ul. Toruńska,791125,68 m²,3 pokoje,parter/6,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-torunska-68m2-mzn2045828304,2026,"54.34223142,18.65119743"
ul. Toruńska,791125,91 m²,3 pokoje,parter/6,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-torunska-91m2-mzn2045828303,2026,"54.34223142,18.65119743"
Jaskółcza,445000,40 m²,2 pokoje,parter/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-jaskolcza-40m2-mzn2045830141,1980,"54.34385203,18.66231233"
Marynarki Polskiej,445000,57 m²,2 pokoje,parter/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-nowy-port-marynarki-polskiej-57m2-mzn2045853857,-1,"54.3986761,18.6681653"
ul. Śliwkowa,583000,82 m²,4 pokoje,piętro 2/2,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-sliwkowa-82m2-mzn2043096350,2025,"54.33660604,18.57525522"
ul. Gałczyńskiego 1,583000,39 m²,2 pokoje,piętro 1/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-galczynskiego-1-39m2-mzn2043868810,2024,"54.40634292,18.63793015"
