city,street,price_pln,size_m2,rooms,floor,detail_url,image_url,year_built,coords
Gdańsk,Wyzwolenia,926250,63 m²,3 pokoje,piętro 4/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-nowy-port-wyzwolenia-63m2-mzn2045878289,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ21nNDYwODU5LzYvZ21nNDYwODU5X21zXzg1OTIwNV8xLmpwZyN2PTFfMzc0NDQxNzc1NA==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-nowy-port-63-m.jpg,1985,"54.4030735,18.654033"
Gdańsk,Nowa,2242813,79 m²,3 pokoje,piętro 1/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-nowa-79m2-mzn2045496340,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ21nNDYwOTc1L2QvZ21nNDYwOTc1X21zXzEyNzQwNF8xLmpwZyN2PTFfMzc0NjMwNDc3Nw==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-ujescisko-lostowice-79-m.jpg,2021,"54.33025,18.5904"
Gdańsk,Orańska,2242813,64 m²,3 pokoje,piętro 4/10,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-piecki-migowo-oranska-64m2-mzn2045795167,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ21nNDYwOTc1LzgvZ21nNDYwOTc1X21zXzUyOTgwNV8xLmpwZyN2PTFfMzczOTc4ODQ1MQ==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-piecki-migowo-64-m.jpg,1980,"54.35592,18.58599"
Gdańsk,al. Rzeczypospolitej,690000,38 m²,2 pokoje,parter/10,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-przymorze-rzeczypospolitej-38m2-mzn2045865221,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvaW50ZWdyb2IvZS9pbnRlZ3JvYl9tc19JVDAxMzM5XzEuanBnI3Y9MV8zNzU0NjY0MTE0/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-przymorze-38-m.jpg,-1,"54.416667,18.583333"
Gdańsk,Św. Barbary,1299000,47 m²,2 pokoje,piętro 6/6,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-sw-barbary-47m2-mzn2045919195,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbmFkbW8xL2UvbmFkbW8xX21zXzU0NzIxMF8xLmpwZyN2PTFfMzc0NjQyMDQyNg==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-srodmiescie-47-m.jpg,2020,"54.3492,18.6618"
Gdańsk,Lawendowe Wzgórze,1299000,66 m²,3 pokoje,piętro 2/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-jasien-lawendowe-wzgorze-66m2-mzn2045913732,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvYm44OTMwLzQvYm44OTMwX21zX0dIMjI4MzQ5XzEuanBnI3Y9MV8zNzUwMTgzMTUz/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-jasien-66-m.jpg,2022,"54.3285603,18.5627803"
Gdańsk,Borkowska,840000,47 m²,2 pokoje,piętro 4/5,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-orunia-gorna-gdansk-poludnie-borkowska-47m2-mzn2045538896,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ21nNDYwOTc1L2QvZ21nNDYwOTc1X21zXzg3MTU4NV8xLmpwZyN2PTFfMzczOTc4NzcxOQ==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-orunia-gorna-gdansk-poludnie-47-m.jpg,2024,"54.29782,18.60758"
Gdańsk,Ks. Jerzego Popiełuszki,840000,84 m²,4 pokoje,piętro 10/11,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-ks-jerzego-popieluszki-84m2-mzn2045787123,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ21nNDYwODQ3L2EvZ21nNDYwODQ3X21zXzM3MjE2Ml8xLmpwZyN2PTFfMzc0NjA5MjU5Ng==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-srodmiescie-84-m.jpg,2024,"54.36305,18.64889"
Gdańsk,Sołecka,580000,53 m²,2 pokoje,parter/2,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-siedlce-solecka-53m2-mzn2045746270,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEveW91cnBvaW50Mi85L3lvdXJwb2ludDJfbXNfV0gzNTM5NjdfMS5qcGcjdj0xXzM3NDQzNjYxODA=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-siedlce-53-m.jpg,2018,"54.3471528,18.6230718"
Gdańsk,Sochaczewska,580000,61 m²,3 pokoje,piętro 2/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-sochaczewska-61m2-mzn2045627247,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ21nNDYwOTc1L2MvZ21nNDYwOTc1X21zXzU0MzIwNl8xLmpwZyN2PTFfMzc0NTYwNjU0MA==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wrzeszcz-61-m.jpg,1960,"54.38416,18.62525"
